,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother qualification,Father qualification,Mother occupation,Father occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
563,1,1,1,9130,1,1,132.0,1,19,38,9,9,130.4,1,0,0,1,1,0,18,0,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Graduate
509,1,1,2,9147,1,1,125.0,1,1,19,4,6,115.2,0,1,0,1,0,0,21,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
2995,1,17,5,9500,1,1,137.0,1,1,1,5,5,132.6,1,0,0,1,0,1,18,0,0,7,7,7,13.857142857142858,0,0,8,8,8,14.9,0,13.9,-0.3,0.79,Graduate
1916,1,17,5,9500,1,1,136.0,1,19,38,5,8,130.3,1,0,0,1,0,1,18,0,0,7,7,6,12.6,0,0,7,7,6,12.6,0,7.6,2.6,0.32,Graduate
3389,1,43,1,9238,1,1,109.0,1,19,37,5,5,108.3,0,0,0,1,0,1,21,0,0,6,15,2,10.5,0,0,6,8,5,12.4,0,10.8,1.4,1.74,Enrolled
1276,1,17,5,9670,1,1,125.0,1,1,19,9,7,119.4,1,0,0,1,0,0,18,0,0,6,10,4,13.6,0,0,6,7,5,12.666666666666666,0,11.1,0.6,2.02,Graduate
4287,1,44,1,9085,1,39,160.0,1,1,1,4,4,160.0,0,0,0,1,1,0,21,0,1,5,15,3,12.333333333333334,2,0,5,7,5,11.4,0,9.4,-0.8,-3.12,Graduate
354,1,1,1,9254,1,1,127.0,1,19,19,4,6,120.7,0,0,1,0,0,0,22,0,0,6,10,5,11.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
2281,1,44,1,9003,1,39,140.0,1,1,38,9,6,140.0,0,0,0,1,1,0,21,0,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,Enrolled
746,1,51,1,9003,1,39,130.0,1,1,19,4,4,120.0,1,0,1,0,1,0,22,0,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,Dropout
